,AllIC,xBottom,xTop,yBottom,yTop
20150414,-1.9221620055873005,-0.5657853349966415,-0.7351117994339422,-4.460444829897031,3.020338046139298
20150415,-1.913601967178402,-0.5210499808792756,-0.7780961414801533,-4.6059953082844745,3.2639134851749394
20150416,-1.87926372191782,-0.4840188586657317,-0.8336042538143174,-4.8011332725070055,3.5365520053578647
20150417,-1.9129855856845381,-0.44798433772018104,-0.8367307093841349,-4.937177117226238,3.563761475614915
20150420,-2.1654518766793736,-0.5332834707233057,-1.0664789588909966,-5.283014250016924,3.5052729294744664
20150421,-2.22703484942096,-0.5250574851233348,-1.177396891544257,-5.5510669774984915,3.705534168602185
20150422,-2.2120378052241665,-0.5032854915507291,-1.1379400664701065,-5.429095607228014,3.5897235437718558
20150423,-2.1823501278081783,-0.5700417650447624,-1.0176931412125492,-5.463352840264486,3.6050793453455916
20150424,-2.296459909044501,-0.5012325395800714,-1.1238641292109242,-5.630194634224231,3.707935167162762
20150427,-2.302613245003188,-0.3662044232984679,-1.0290995417682647,-5.704480938801504,3.769115572416218
20150428,-2.422561485060861,-0.40129650804112244,-1.062951940560719,-5.971517862127777,3.8400290280130434
20150429,-2.3974456804502275,-0.35642308684148294,-1.0424297537488967,-6.266563965936763,4.118920134960373
20150430,-2.4988947160700756,-0.4121480363350966,-1.1000894235640923,-6.355700012282537,4.034867328864842
20150504,-2.5444854044458163,-0.5046494090354752,-1.1840745061801812,-6.502943258592441,4.121540715849166
20150505,-2.588291702716072,-0.5307193899540714,-1.0592823812039522,-6.518320670031782,4.160119466506349
20150506,-2.639225678446035,-0.5598394757692232,-1.0902250566837632,-6.8133612124866705,4.422031400297222
20150507,-2.3744400360147124,-0.5483345384495961,-0.8881772907399604,-7.112206118108135,4.7761601083179634
20150508,-2.449909614376529,-0.650439317776518,-0.8886736428013045,-7.445992936672594,4.922050984868664
20150511,-2.405210668581524,-0.7882449691372437,-0.705240808992514,-7.517429942739992,4.95995225926077
20150512,-2.360872969465884,-0.8357383008578988,-0.6204326978545215,-7.491793090103786,4.982058037495737
20150513,-2.381222592408483,-0.852506282081788,-0.6368105308664739,-7.540302313107159,4.9676580664913015
20150514,-2.3343614330338163,-0.7956904282718256,-0.4871109660527421,-7.639722503900209,5.039502619232043
20150515,-2.2473919030356866,-0.7837790006803027,-0.34137646135566213,-7.758271422021754,5.139045132441862
20150518,-2.371215973923375,-0.8500862249886806,-0.4376056618007853,-8.073677738360653,5.427297951445968
20150519,-2.3753765953837753,-0.8449347422491125,-0.4276262005415167,-8.272181238077232,5.499286658475085
20150520,-2.419548499297328,-0.8300525792428133,-0.44356405528570314,-8.208865052412586,5.33871166042452
20150521,-2.6189859282158756,-0.7600790784003135,-0.564121695508331,-8.434199827569365,5.3855624750016045
20150522,-2.7322564085707612,-0.6694281136390723,-0.6878891122804992,-8.483660406975178,5.380833984651729
20150525,-2.929029510665414,-0.8180644419798606,-0.6991277774113404,-8.642848335105981,5.416443682506826
20150526,-2.913660430006136,-0.8984359404832836,-0.5721621946634194,-8.540565373189756,5.385081796950572
20150527,-2.9794551943941667,-1.052545346249795,-0.5016868545356908,-8.580611813418939,5.298850728420193
20150528,-2.9797555595489524,-0.9208845503856968,-0.44063742482438883,-8.71791983990834,5.422005394580198
20150529,-2.881957873840465,-0.4973473403910259,-0.49931812631769135,-8.672352441703849,5.620800823303889
20150601,-2.948210166617758,-0.422166312492429,-0.6368452996247158,-8.925394827414525,5.786411182959621
20150602,-2.9795011910260736,-0.5116099644077113,-0.5751746409754737,-8.777124842563323,5.668387885209055
20150603,-2.99992626406553,-0.4142389954599654,-0.571630117392514,-8.608023158934971,5.576770845522942
20150604,-3.119199554306084,-0.36122746243086057,-0.7472746696255583,-8.808585383969206,5.71527891454267
20150605,-3.0989779529684864,-0.10073162717975909,-0.9871739097473032,-8.775781235492111,5.652042443773122
20150608,-3.2227534399276156,-0.1413151261873255,-1.020385176896935,-8.912622709918095,5.730204099029822
20150609,-3.4386835435625804,-0.2863410458417195,-1.173147734085706,-9.109314299950183,5.802830460635116
20150610,-3.483872570722853,-0.1688213021325094,-1.2484112203281437,-9.23861419735839,5.849643830840859
20150611,-3.5999531970489005,-0.18885407118605263,-1.286200962315285,-9.543235354971422,5.9094490971742815
20150612,-3.6419002262960443,-0.06698237445676838,-1.2705501282328675,-9.637493211206225,5.888607060745078
20150615,-3.66838659173279,-0.005431628177743217,-1.1665522103482013,-9.601940265646471,5.920437803290248
20150616,-3.899176485110182,-0.14545097078798097,-1.3330857162552752,-9.863964908488496,6.011158448761514
20150617,-3.7986636058685925,-0.005890740874980455,-1.3538635953560716,-10.058199612111672,6.27581125184924
20150618,-3.7628206600295,0.006110041060766281,-1.2141316720802378,-9.988213488210384,6.261517834048463
20150619,-3.9434982482060557,-0.19213322458559706,-1.281126986423019,-10.168484740566598,6.325683287637247
20150623,-3.9242294769743142,-0.20368266723762687,-1.274663708384184,-10.47389930638572,6.678367061684327
20150624,-3.9488676364133344,-0.12666360798214388,-1.2456418749387024,-10.34363284816577,6.602970242378114
20150625,-3.9348689593981967,-0.06563418174731855,-1.1398853311379857,-10.430517559755456,6.616642100601476
20150626,-3.7287203688413415,-0.03028492076432303,-0.993700481725439,-10.493621118191191,6.859632795615853
20150629,-3.8237233300062687,0.11771782277468905,-1.310171518804224,-10.721808184262821,6.914227646874243
20150630,-3.5951043991108587,0.06682029306278309,-0.9929060821581848,-10.54808175833589,7.017110953170437
20150701,-3.606484196661997,-0.12494901839861589,-0.8971407755062671,-10.416370178874772,7.055950500070582
20150702,-3.339393604474963,-0.14304659495207062,-0.6313726437369593,-10.36691189195876,7.33092574668206
20150703,-3.0839763945532184,-0.033305555370000406,-0.5259006371194859,-10.333783839292694,7.56178958223924
20150706,-2.989920908377718,0.04830809110916101,-0.5453441353125636,-10.177809936824767,7.749758836743852
20150707,-3.005480847087453,0.017401416058781753,-0.5359708423134802,-10.198592627876417,7.867495050572272
20150708,-2.977404195087268,0.08599428042786067,-0.5798742743552543,-10.128889517178342,7.918895171490954
20150709,-2.9017142526880857,0.36068212583566406,-0.5760803243761661,-10.016206934459627,7.85452778693389
20150710,-2.3448292133016784,1.0428623103449048,-0.5335342830251366,-9.380410023028212,7.630586886791347
20150713,-2.2296562290573076,0.49821139781618384,-0.14738206388989622,-9.011963088502547,7.411151673881936
20150714,-2.5360969314089394,0.2917656942609162,-0.23111361365339098,-8.971836783373973,7.035982566234042
20150715,-2.4917169730567292,0.4255142847905501,-0.32180153815833834,-8.971736250905904,7.107031550498355
20150716,-2.6027133639180517,0.5097836957305192,-0.5363627568124117,-9.291709892627464,7.2534405159493724
20150717,-2.4801721200606406,0.5331353062627171,-0.44583583328901705,-9.105991264154651,7.293651356870567
20150720,-2.4294163323876083,0.503182630060388,-0.3266191526737039,-9.036920346574245,7.25256428412289
20150721,-2.399899880100872,0.6321305201692171,-0.3033716382189786,-9.0556711171934,7.261416401616918
20150722,-2.2942565415695086,0.6696261805042181,-0.27089912824384726,-9.14605355564243,7.4539939366529495
20150723,-2.3412137767265766,0.7126034943870966,-0.23584516073433454,-9.274975609115568,7.478747580576977
20150724,-2.383841157690528,0.48295971826393036,-0.11965609043442497,-9.128924151548315,7.454089309570197
20150727,-2.3973704745742186,0.38607955608342465,-0.0979360254466729,-9.220384725150023,7.509867041908396
20150728,-2.356347538185707,0.5201449938285121,-0.26455637558995326,-9.358456592312008,7.729491873212277
20150729,-2.2998666694038064,0.5962633805805952,-0.3644044432783312,-9.302682399143631,7.804218608965263
20150730,-2.1047569385172338,0.7569622281803019,-0.19872332533710682,-9.086002941012612,7.965356999376375
20150731,-2.0820711339887574,0.9505303071498222,-0.288893128874126,-9.118989510756379,8.030476533340405
20150803,-2.5343496789319016,0.8386024956995171,-0.6929864199682236,-9.518937577735624,7.931120308449657
20150804,-2.6709524867127987,0.8872232418619342,-0.8236435513706342,-9.540484996446615,8.034711665873102
20150805,-2.440787372714736,1.1044076729666628,-0.7602203193387755,-9.298222734690352,8.103955494309268
20150806,-2.5356435564118374,1.125478455205558,-1.004024730249277,-9.585217907858127,8.184002841370548
20150807,-2.5976521673226602,1.2206199532752244,-1.159983047985093,-9.606349350072344,8.107958089121958
20150810,-2.5678319816267012,1.2468462962404925,-1.1117056573778743,-9.534024441390228,8.059301263659652
20150811,-2.4826608773725027,1.1971728794462515,-1.0214030493760493,-9.499478759257265,8.136774827026601
20150812,-2.5083752252625486,1.2785787766335492,-1.1466241866865061,-9.672631947164271,8.180267641532181
20150813,-2.4317574450223858,1.3380119242673507,-1.0918034527509541,-9.835158209240145,8.35530156177448
20150814,-2.3385150111730604,1.4409614424290564,-1.09997258960883,-9.80237842098759,8.420470900293486
20150817,-2.37116295305041,1.4401479266929114,-1.1745605270834103,-9.860890759884652,8.416444645008056
20150818,-2.241765217240986,1.4367958533687082,-0.9707970518476826,-9.864041477267183,8.579709445840505
20150819,-2.2481621988148794,1.3950737089854726,-0.945361814573145,-10.132571609710688,8.694996168304467
20150820,-2.295133346665596,1.358802384308977,-0.9085953416984118,-10.265311551647443,8.739859780086665
20150821,-2.217519116425433,1.2573709957449883,-0.7918094960679382,-10.411083174387826,8.852222551784367
20150824,-2.179564543695587,1.144174678670453,-0.6339286687908848,-10.47334027700672,8.919452494051994
20150825,-2.0608263837742884,1.276449730956745,-0.6591278878719116,-10.423758375875066,9.05696425173576
20150826,-2.132622422414493,1.2836474956671096,-0.9292978430346145,-10.494813738923378,9.065139397949011
20150827,-2.5595594370498356,1.1968375353212584,-1.2706536114166302,-10.859997938942055,9.093777145933446
20150828,-2.4595748872834786,1.2589885793454865,-1.2403040335239937,-10.608454582645013,9.028352225020178
20150831,-2.697382640023167,0.9740297956330377,-1.2163299043664006,-10.596219641906094,8.78427425404839
20150901,-2.5903555689088122,1.0074294725612702,-1.1818536207910573,-10.741224719487345,8.979960417457443
20150902,-2.9549098166148258,1.081814337127712,-1.6621409379008165,-11.024260769112377,8.995667081701912
20150907,-3.191861380609432,1.012742453362647,-1.9872672741334063,-11.03921145026733,8.950380294110799
20150908,-3.0731877874784335,1.1498341549425495,-2.019101108475196,-10.958990074398496,8.949000566941104
20150909,-3.024889195617679,1.1630140920770036,-1.9511127479817836,-10.770159554333143,8.913473645716826
20150910,-2.9497617718305635,1.1519044867298294,-1.9295710406376332,-10.648338769545571,8.848793427457966
20150911,-2.899238680569653,1.2193190624275505,-1.9507129394488554,-10.616807195765427,8.959155666406762
